n_components,n_bga,n_ict,bga_pinCount,bga_min_pin_grid,bga_max_pin_grid,bga_mean_pin_grid,n_holes_a,n_holes_b,holes_area_a,holes_area_b,area_occupied_by_holes_a,area_occupied_by_holes_b,n_components_a,n_components_b,n_power_components,cooling_layer_a_area,cooling_layer_b_area,has_cooling_layer_a,has_cooling_layer_b,layout_layer_area,area_occupied_by_components_b,area_occupied_by_components_a,area_occupied_by_cooling_layer_a,area_occupied_by_cooling_layer_b,is_via,is_viap,number_of_net,max_height,number_of_gnd,number_of_conducting_layer,num_geom_cool_area_B,num_geom_cool_area_A,num_x_comps,x_component_pinCount,area_x_comps,mean_area_x_comps,per_power_comps_area_a,per_power_comps_area_b,test_caf2_2000h,test_caf2_1600h,caf2_500h,caf2_1000h,caf2_1500h,caf2_2000h,ruf_max_voltage,ruf_cond_inner_thickness,ruf_cond_outer_thickness,Product class
288,0,0,0,0,0,0,18,0,1.6938,0,0.00342689,0,288,0,0,0,0,FALSE,FALSE,494.2674,0.00342689,0.15870154,0,0,TRUE,FALSE,160,576,0,6,0,0,6,216,60.324,10.054,0,0,0,0,0,0,0,0,1500,0.06603333,0.039,4
1951,2,580,568,0,1,0,4,0,0,0,0,0,776,1175,220,37.7766,0,TRUE,FALSE,283.7133,0.25501785,0.6466794,0.1331506,0,TRUE,FALSE,1034,1182,25,4,0,3,4,285,129.8283,25.96566,0.5576441,0,0,0,0,1,0,0,0,0.0249,0.054,0
2295,0,637,0,0,0,0,4,0,0.4688,0,0.001476522,0,809,1486,290,52.0853,0,TRUE,FALSE,317.5029,0.33682257,0.5714539,0.16404669,0,TRUE,FALSE,965,4322,33,6,0,3,3,270,78.65924,26.219748,0,0,0,0,0,0,0,0,1500,0.0249,0.054,0
1547,0,445,0,0,0,0,4,0,0.4692,0,0.002323419,0,626,921,256,33.6591,3.3912,TRUE,TRUE,201.9438,0.2504358,0.7394327,0.16667558,0.016792791,TRUE,FALSE,615,2926,28,4,2,2,3,176,102.54751,34.182503,0.07706386,0.7648915,0,0,0,0,0,0,1500,0.0249,0.054,0
49,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,FALSE,FALSE,740.5677,0,0.007224188,0,0,TRUE,FALSE,53,98,17,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1500,0.0249,0.039,3
1370,0,380,0,0,0,0,4,0,0.468,0,0.003094244,0,652,718,69,8.3826,7.8768,TRUE,TRUE,151.2486,0.2831306,0.5768597,0.05542266,0.0520785,TRUE,FALSE,553,2638,31,4,1,2,3,178,49.19418,16.39806,0.34302005,0.3650467,0,0,0,0,0,0,1500,0.0249,0.054,0
601,0,47,0,0,0,0,1,1,0.1239,0.1237,0.002385532,0.002381681,233,368,0,0,0,FALSE,FALSE,51.9381,0.334464,0.8008809,0,0,TRUE,FALSE,353,1188,14,4,0,0,2,109,29.076231,14.5381155,0,0,0,0,0,0,0,0,1500,0.0249,0.054,3
27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,FALSE,FALSE,134.865,0.04781893,0.34979793,0,0,TRUE,FALSE,18,54,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.0249,0.039,4
1492,0,418,0,0,0,0,4,0,0.4688,0,0.002954074,0,815,677,0,0,0,FALSE,FALSE,158.6961,0.21824643,0.5436877,0,0,TRUE,FALSE,756,2824,11,4,0,0,4,110,52.962475,13.240619,0,0,0,0,0,1,0,0,2500,0.0249,0.054,7
264,0,87,0,0,0,0,0,0,0,0,0,0,140,124,0,0,0,FALSE,FALSE,44.2008,0.13549152,0.31982297,0,0,TRUE,FALSE,90,500,2,4,0,0,14,14,0.99543065,0.07110219,0,0,0,0,0,0,0,0,0,0.0866,0.054,7
101,2,10,158,0,1,0,0,0,0,0,0,0,35,66,0,0,0,FALSE,FALSE,6.0444,0.29213047,0.44399774,0,0,TRUE,TRUE,149,65,2,4,0,0,8,8,0.5796533,0.072456665,0,0,0,0,0,0,0,0,0,0.0249,0.039,6
689,0,212,0,0,0,0,2,0,0.2232,0,0.0031019,0,474,215,0,0,0,FALSE,FALSE,71.9559,0.43844888,0.5352225,0,0,TRUE,TRUE,662,1378,2,8,0,0,4,140,8.040216,2.010054,0,0,0,0,0,0,0,0,1500,0.0249,0.039,7
25,0,0,0,0,0,0,3,0,0.2823,0,0.003524661,0,25,0,0,0,0,FALSE,FALSE,80.0928,0.003524661,0.42767265,0,0,TRUE,FALSE,14,50,0,2,0,0,1,36,10.054,10.054,0,0,0,0,0,0,0,0,1500,0.054,0.054,4
21,0,4,0,0,0,0,1,0,0.1816,0,0.0894405,0,19,2,0,0,0,FALSE,FALSE,2.0304,0.0894405,0.27078408,0,0,TRUE,FALSE,6,42,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0.054,0.054,1
771,0,262,0,0,0,0,2,0,0,0,0,0,290,481,0,0,0,FALSE,FALSE,71.9748,0.3428599,0.8675542,0,0,TRUE,FALSE,267,1486,1,4,0,0,2,134,37.099842,18.549921,0,0,0,0,0,0,0,0,1000,0.03,0.05,3
320,0,41,0,0,0,0,2,0,0.2474,0,0.007798709,0,131,189,0,0,0,FALSE,FALSE,31.7232,0.28957146,0.8929648,0,0,TRUE,FALSE,164,640,14,4,0,0,1,48,16.1121,16.1121,0,0,0,0,0,0,0,0,1500,0.0249,0.054,3
