Q_INCA,p_druck_bereinigt_1,p_druck_bereinigt_2,p_druck_bereinigt_3,p_druck_bereinigt_4,p_druck_bereinigt_5,p_druck_bereinigt_6,p_druck_bereinigt_7,p_druck_bereinigt_8,p_druck_bereinigt_9,p_druck_bereinigt_10,p_druck_bereinigt_11,p_druck_bereinigt_12,p_druck_bereinigt_13,p_druck_bereinigt_14,p_druck_bereinigt_15,p_druck_bereinigt_16,p_druck_bereinigt_17,p_druck_bereinigt_18,p_druck_bereinigt_19,p_druck_bereinigt_20,nEng
107.93,-12598.0,-12574.0,-12751.0,-12706.0,-12499.0,-12633.0,-10307.0,-4624.4,0.0,-4175.5,-23732.0,-29293.0,-29049.0,-28966.0,-29179.0,-29312.0,-26048.0,-19656.0,-15257.0,-13027.0,826.67
28.2808875803021,-3179.125,-3121.875,-3137.0,-3087.25,-3038.375,-3111.75,-3096.125,-2713.0,-98.875,0.0,-6245.125,-7233.375,-6860.75,-7789.875,-7283.625,-7266.375,-7515.625,-6931.75,-5085.25,-3598.375,953.5
28.806,-4474.5,-5298.5,-4875.0,-4908.3,-4795.3,-4631.6,-4935.1,-4327.0,-2291.3,0.0,-3400.6,-8268.5,-8594.5,-10344.0,-8516.8,-10201.0,-9044.8,-9459.5,-6891.6,-6658.6,1353.5
33.176,-4864.5,-3979.4,-4607.4,-4313.5,-4216.6,-4453.0,-4092.5,-3854.1,-1526.4,0.0,-142.5,-7301.4,-8932.6,-9820.3,-9215.6,-9517.6,-9551.6,-9127.3,-6829.9,-4550.4,1006.8
43.536,-9717.1,-6923.9,-8288.3,-8752.6,-6764.9,-8041.5,-8405.1,-7677.5,-5102.4,-3829.9,-2459.6,0.0,-6538.4,-12441.0,-10591.0,-12199.0,-14381.0,-12796.0,-10100.0,-10545.0,1847.0
199.786329637848,-23177.25,-21679.75,-22580.688,-21956.5,-21658.0,-21413.938,-13615.375,-9245.25,-2293.0625,-229.25,0.0,-2988.1875,-20239.938000000002,-35093.937999999995,-40809.625,-43413.062999999995,-35677.062999999995,-32278.375,-26570.0,-23417.625,1420.12
130.588687028953,-20168.625,-20168.5,-20068.25,-19862.75,-20088.375,-19795.75,-15615.125,-9057.5,-2970.25,0.0,-7718.625,-29326.0,-36854.75,-38307.125,-39261.25,-38299.25,-35879.875,-29611.375,-23798.375,-21276.5,1100.02083333333
15.288,-4419.3,-3589.9,-3090.8,-4404.0,-3207.6,-3548.1,-4010.3,-3618.5,-3256.3,0.0,-1996.6,-3990.8,-5164.5,-6276.0,-5337.4,-5949.4,-5657.9,-5812.6,-5627.3,-3378.9,1820.5
33.542,-6927.3,-4057.1,-5481.6,-5189.3,-4579.6,-4972.9,-5488.9,-4442.6,-3840.3,0.0,-426.75,-1640.9,-8045.5,-8189.0,-8787.3,-9345.0,-10052.0,-8270.5,-9195.9,-5622.5,1867.0
160.09,-23227.0,-23210.0,-22957.0,-23014.0,-22997.0,-22460.0,-16128.0,-7884.1,-2803.1,0.0,-20070.0,-41811.0,-48631.0,-48106.0,-49238.0,-48490.0,-40619.0,-32143.0,-26940.0,-23547.0,1006.8
155.88,-22824.0,-21570.0,-22548.0,-21414.0,-22114.0,-21657.0,-17112.0,-11064.0,-3924.9,-1636.8,0.0,-5226.5,-26409.0,-35761.0,-41472.0,-42531.0,-37178.0,-34054.0,-26412.0,-23905.0,1413.5
98.678,-14278.0,-14209.0,-14468.0,-14593.0,-14485.0,-14486.0,-11860.0,-5789.5,-1869.6,0.0,-15645.0,-25310.0,-26332.0,-27224.0,-27262.0,-26898.0,-25126.0,-20590.0,-16518.0,-14751.0,773.5
167.04,-20807.0,-21311.0,-20721.0,-19651.0,-19665.0,-20789.0,-17865.0,-11393.0,-8749.8,-4898.6,0.0,-77.375,-4528.5,-16292.0,-29380.0,-37137.0,-37910.0,-31960.0,-29054.0,-22481.0,1940.5
102.67,-17197.0,-12947.0,-12266.0,-14100.0,-13898.0,-12133.0,-12720.0,-11375.0,-4185.1,-3994.9,-1223.8,0.0,-6353.1,-17764.0,-20177.0,-20802.0,-24319.0,-23574.0,-16684.0,-15665.0,1947.0
210.531927448944,-26326.0,-24252.625,-25619.375,-24814.625,-24664.625,-24134.875,-15321.25,-10337.25,-3253.0,0.0,-1424.5,-11700.875,-32326.375,-42917.75,-47650.0,-48044.25,-39703.625,-36840.5,-29359.75,-26425.75,1460.22916666667
222.14,-24841.0,-24255.0,-22511.0,-22793.0,-23650.0,-22034.0,-15937.0,-11520.0,-6666.5,0.0,-124.0,-4574.6,-17488.0,-32673.0,-44446.0,-46779.0,-41708.0,-36243.0,-30222.0,-24434.0,1800.3
21.518,-3088.6,-1109.8,-952.69,-2555.8,-1365.0,-1266.9,-1911.9,-2012.3,-1024.9,0.0,-123.38,-1709.9,-3694.3,-5421.0,-4414.9,-5034.1,-5612.1,-4658.3,-4486.2,-2380.9,1787.0
