Material,Order.Quantity,Net.Order.Price,Created.on,Created.by,Vnd.Mast..Name,Delivery.Date
M1,6,54.9,1/2/2012,CAB9CH,A Enterprises,1/12/2012
M1,6,54.9,1/25/2012,CAB9CH,A Enterprises,2/6/2012
M1,6,54.9,2/8/2012,CAB9CH,A Enterprises,2/21/2012
M1,6,54.9,3/1/2012,CAB9CH,A Enterprises,3/12/2012
M1,6,54.9,3/19/2012,CAB9CH,A Enterprises,4/16/2012
M1,6,54.9,4/27/2012,CAB9CH,A Enterprises,5/21/2012
M1,6,66.71,5/24/2012,CAB9CH,A Enterprises,6/11/2012
M1,6,66.71,6/22/2012,CAB9CH,A Enterprises,7/2/2012
M1,6,54.9,7/20/2012,CAB9CH,A Enterprises,8/27/2012
M1,6,66.71,8/24/2012,CAB9CH,A Enterprises,9/28/2012
M1,6,48.81,10/15/2012,CAB9CH,B Enterprises,10/25/2012
M1,6,48.81,11/14/2012,CAB9CH,B Enterprises,11/26/2012
M1,6,48.81,12/21/2012,CAB9CH,B Enterprises,12/28/2012
M1,6,48.81,2/11/2013,CAB9CH,B Enterprises,2/21/2013
M1,6,48.81,3/13/2013,KLC1CH,B Enterprises,3/25/2013
M1,6,48.81,3/29/2013,KLC1CH,B Enterprises,4/8/2013
M1,6,48.81,4/24/2013,KLC1CH,B Enterprises,5/6/2013
M1,6,48.81,5/15/2013,KLC1CH,B Enterprises,5/28/2013
M1,6,48.81,6/28/2013,KLC1CH,B Enterprises,7/8/2013
M1,6,48.81,7/31/2013,KLC1CH,B Enterprises,8/12/2013
M1,6,48.81,8/23/2013,KLC1CH,B Enterprises,9/3/2013
M1,6,48.81,9/16/2013,KLC1CH,B Enterprises,9/26/2013
M1,6,48.81,10/14/2013,MAD9CH,B Enterprises,10/24/2013
M1,6,48.81,11/8/2013,ZHQ2CH,B Enterprises,11/18/2013
M1,6,51.96,11/22/2013,ZHQ2CH,C Enterprises,12/2/2013
M1,6,51.96,1/3/2014,MAD9CH,C Enterprises,1/13/2014
M1,6,51.96,1/15/2014,MAD9CH,C Enterprises,1/27/2014
M1,6,51.96,2/3/2014,ZHQ2CH,C Enterprises,2/13/2014
M1,6,51.96,2/27/2014,ZHQ2CH,C Enterprises,3/10/2014
M1,6,51.96,3/21/2014,ZHQ2CH,C Enterprises,3/31/2014
M1,6,51.96,4/1/2014,MAD9CH,C Enterprises,4/10/2014
M1,6,51.96,4/15/2014,ZHQ2CH,C Enterprises,4/24/2014
M1,6,51.96,5/1/2014,ZHQ2CH,C Enterprises,5/12/2014
M2,144,2.32,1/20/2012,CAB9CH,D Enterprises,1/27/2012
M2,144,2.32,2/21/2012,CAB9CH,D Enterprises,2/24/2012
M2,144,2.32,3/28/2012,CAB9CH,D Enterprises,4/2/2012
M2,144,2.32,4/25/2012,CAB9CH,D Enterprises,5/21/2012
M2,144,2.32,5/30/2012,CAB9CH,D Enterprises,6/5/2012
M2,144,2.32,7/2/2012,CAB9CH,D Enterprises,7/6/2012
M2,144,2.32,8/6/2012,CAB9CH,D Enterprises,8/13/2012
M2,144,2.32,9/27/2012,CAB9CH,D Enterprises,10/4/2012
M2,144,2.32,10/31/2012,CAB9CH,D Enterprises,11/7/2012
M2,144,2.32,11/29/2012,CAB9CH,D Enterprises,12/6/2012
M2,144,2.32,1/7/2013,CAB9CH,D Enterprises,1/14/2013
M2,144,2.32,1/14/2013,CAB9CH,D Enterprises,1/18/2013
M2,144,2.32,2/22/2013,KLC1CH,D Enterprises,2/27/2013
M2,144,2.32,3/8/2013,KLC1CH,D Enterprises,3/18/2013
M2,144,2.32,4/2/2013,KLC1CH,D Enterprises,4/11/2013
M2,144,2.32,4/19/2013,KLC1CH,D Enterprises,4/26/2013
M2,144,1.96,5/13/2013,KLC1CH,E Enterprises,5/21/2013
M2,144,1.96,6/10/2013,KLC1CH,E Enterprises,6/19/2013
M2,144,1.96,7/10/2013,KLC1CH,E Enterprises,7/19/2013
M2,144,1.96,7/31/2013,KLC1CH,E Enterprises,8/5/2013
M2,144,1.96,8/19/2013,KLC1CH,E Enterprises,8/29/2013
M2,144,1.96,9/6/2013,KLC1CH,E Enterprises,9/18/2013
M2,144,1.96,9/23/2013,KLC1CH,E Enterprises,10/1/2013
M2,144,1.96,10/9/2013,MAD9CH,E Enterprises,10/14/2013
M2,144,1.95,10/18/2013,ZHQ2CH,F Enterprises,10/28/2013
M2,144,1.95,11/4/2013,ZHQ2CH,F Enterprises,11/11/2013
M2,144,1.95,11/15/2013,ZHQ2CH,F Enterprises,11/20/2013
M2,144,1.95,12/2/2013,MAD9CH,F Enterprises,12/9/2013
M2,144,1.95,12/16/2013,ZHQ2CH,F Enterprises,12/23/2013
M2,144,1.95,1/10/2014,MAD9CH,F Enterprises,1/30/2014
M2,144,1.95,2/7/2014,ZHQ2CH,F Enterprises,2/12/2014
M2,144,1.95,2/27/2014,ZHQ2CH,F Enterprises,3/3/2014
M2,144,1.95,3/14/2014,ZHQ2CH,F Enterprises,3/19/2014
M2,144,1.95,3/28/2014,MAD9CH,F Enterprises,4/2/2014
M2,144,1.95,4/15/2014,ZHQ2CH,F Enterprises,4/21/2014
M3,144,2.32,2/2/2012,CAB9CH,D Enterprises,2/9/2012
M3,144,2.32,3/25/2012,CAB9CH,D Enterprises,3/29/2012
M3,144,2.32,4/13/2012,CAB9CH,D Enterprises,4/19/2012
M3,144,2.32,5/29/2012,CAB9CH,D Enterprises,6/15/2012
M3,144,2.32,7/26/2012,CAB9CH,D Enterprises,8/6/2012
M3,144,2.32,9/19/2012,CAB9CH,D Enterprises,9/26/2012
M3,144,2.32,11/5/2012,CAB9CH,D Enterprises,11/12/2012
M3,144,2.32,11/29/2012,CAB9CH,D Enterprises,12/6/2012
M3,144,2.32,1/7/2013,CAB9CH,D Enterprises,1/14/2013
M3,144,2.32,1/14/2013,CAB9CH,D Enterprises,1/18/2013
M3,144,2.32,2/20/2013,KLC1CH,D Enterprises,2/25/2013
M3,144,2.32,3/6/2013,KLC1CH,D Enterprises,3/11/2013
M3,144,2.32,4/10/2013,KLC1CH,D Enterprises,4/30/2013
